ID,Opcode,Opcode (Unformatted),Instruction,Size,Flags,Function
1,0x00,0,NOP,1,,
2,0x01,1,LXI B;D16,3,,B &lt;- byte 3; C &lt;- byte 2
3,0x02,2,STAX B,1,,(BC) &lt;- A
4,0x03,3,INX B,1,,BC &lt;- BC+1
5,0x04,4,INR B,1,Z; S; P; AC,B &lt;- B+1
6,0x05,5,DCR B,1,Z; S; P; AC,B &lt;- B-1
7,0x06,6,MVI B; D8,2,,B &lt;- byte 2
8,0x07,7,RLC,1,CY,A = A &lt;&lt; 1; bit 0 = prev bit 7; CY = prev bit 7
9,0x08,8,-,0,,
10,0x09,9,DAD B,1,CY,HL = HL + BC
11,0x0a,0a,LDAX B,1,,A &lt;- (BC)
12,0x0b,0b,DCX B,1,,BC = BC-1
13,0x0c,0c,INR C,1,Z; S; P; AC,C &lt;- C+1
14,0x0d,0d,DCR C,1,Z; S; P; AC,C &lt;-C-1
15,0x0e,0e,MVI C;D8,2,,C &lt;- byte 2
16,0x0f,0f,RRC,1,CY,A = A &gt;&gt; 1; bit 7 = prev bit 0; CY = prev bit 0
17,0x10,10,-,0,,
18,0x11,11,LXI D;D16,3,,D &lt;- byte 3; E &lt;- byte 2
19,0x12,12,STAX D,1,,(DE) &lt;- A
20,0x13,13,INX D,1,,DE &lt;- DE + 1
21,0x14,14,INR D,1,Z; S; P; AC,D &lt;- D+1
22,0x15,15,DCR D,1,Z; S; P; AC,D &lt;- D-1
23,0x16,16,MVI D; D8,2,,D &lt;- byte 2
24,0x17,17,RAL,1,CY,A = A &lt;&lt; 1; bit 0 = prev CY; CY = prev bit 7
25,0x18,18,-,0,,
26,0x19,19,DAD D,1,CY,HL = HL + DE
27,0x1a,1a,LDAX D,1,,A &lt;- (DE)
28,0x1b,1b,DCX D,1,,DE = DE-1
29,0x1c,1c,INR E,1,Z; S; P; AC,E &lt;-E+1
30,0x1d,1d,DCR E,1,Z; S; P; AC,E &lt;- E-1
31,0x1e,1e,MVI E;D8,2,,E &lt;- byte 2
32,0x1f,1f,RAR,1,CY,A = A &gt;&gt; 1; bit 7 = prev bit 7; CY = prev bit 0
33,0x20,20,RIM,1,,special
34,0x21,21,LXI H;D16,3,,H &lt;- byte 3; L &lt;- byte 2
35,0x22,22,SHLD adr,3,,(adr) &lt;-L; (adr+1)&lt;-H
36,0x23,23,INX H,1,,HL &lt;- HL + 1
37,0x24,24,INR H,1,Z; S; P; AC,H &lt;- H+1
38,0x25,25,DCR H,1,Z; S; P; AC,H &lt;- H-1
39,0x26,26,MVI H;D8,2,,L &lt;- byte 2
40,0x27,27,DAA,1,,special
41,0x28,28,-,0,,
42,0x29,29,DAD H,1,CY,HL = HL + HI
43,0x2a,2a,LHLD adr,3,,L &lt;- (adr); H&lt;-(adr+1)
44,0x2b,2b,DCX H,1,,HL = HL-1
45,0x2c,2c,INR L,1,Z; S; P; AC,L &lt;- L+1
46,0x2d,2d,DCR L,1,Z; S; P; AC,L &lt;- L-1
47,0x2e,2e,MVI L; D8,2,,L &lt;- byte 2
48,0x2f,2f,CMA,1,,A &lt;- !A
49,0x30,30,SIM,1,,special
50,0x31,31,LXI SP; D16,3,,SP.hi &lt;- byte 3; SP.lo &lt;- byte 2
51,0x32,32,STA adr,3,,(adr) &lt;- A
52,0x33,33,INX SP,1,,SP = SP + 1
53,0x34,34,INR M,1,Z; S; P; AC,(HL) &lt;- (HL)+1
54,0x35,35,DCR M,1,Z; S; P; AC,(HL) &lt;- (HL)-1
55,0x36,36,MVI M;D8,2,,(HL) &lt;- byte 2
56,0x37,37,STC,1,CY,CY = 1
57,0x38,38,-,0,,
58,0x39,39,DAD SP,1,CY,HL = HL + SP
59,0x3a,3a,LDA adr,3,,A &lt;- (adr)
60,0x3b,3b,DCX SP,1,,SP = SP-1
61,0x3c,3c,INR A,1,Z; S; P; AC,A &lt;- A+1
62,0x3d,3d,DCR A,1,Z; S; P; AC,A &lt;- A-1
63,0x3e,3e,MVI A;D8,2,,A &lt;- byte 2
64,0x3f,3f,CMC,1,CY,CY=!CY
65,0x40,40,MOV B;B,1,,B &lt;- B
66,0x41,41,MOV B;C,1,,B &lt;- C
67,0x42,42,MOV B;D,1,,B &lt;- D
68,0x43,43,MOV B;E,1,,B &lt;- E
69,0x44,44,MOV B;H,1,,B &lt;- H
70,0x45,45,MOV B;L,1,,B &lt;- L
71,0x46,46,MOV B;M,1,,B &lt;- (HL)
72,0x47,47,MOV B;A,1,,B &lt;- A
73,0x48,48,MOV C;B,1,,C &lt;- B
74,0x49,49,MOV C;C,1,,C &lt;- C
75,0x4a,4a,MOV C;D,1,,C &lt;- D
76,0x4b,4b,MOV C;E,1,,C &lt;- E
77,0x4c,4c,MOV C;H,1,,C &lt;- H
78,0x4d,4d,MOV C;L,1,,C &lt;- L
79,0x4e,4e,MOV C;M,1,,C &lt;- (HL)
80,0x4f,4f,MOV C;A,1,,C &lt;- A
81,0x50,50,MOV D;B,1,,D &lt;- B
82,0x51,51,MOV D;C,1,,D &lt;- C
83,0x52,52,MOV D;D,1,,D &lt;- D
84,0x53,53,MOV D;E,1,,D &lt;- E
85,0x54,54,MOV D;H,1,,D &lt;- H
86,0x55,55,MOV D;L,1,,D &lt;- L
87,0x56,56,MOV D;M,1,,D &lt;- (HL)
88,0x57,57,MOV D;A,1,,D &lt;- A
89,0x58,58,MOV E;B,1,,E &lt;- B
90,0x59,59,MOV E;C,1,,E &lt;- C
91,0x5a,5a,MOV E;D,1,,E &lt;- D
92,0x5b,5b,MOV E;E,1,,E &lt;- E
93,0x5c,5c,MOV E;H,1,,E &lt;- H
94,0x5d,5d,MOV E;L,1,,E &lt;- L
95,0x5e,5e,MOV E;M,1,,E &lt;- (HL)
96,0x5f,5f,MOV E;A,1,,E &lt;- A
97,0x60,60,MOV H;B,1,,H &lt;- B
98,0x61,61,MOV H;C,1,,H &lt;- C
99,0x62,62,MOV H;D,1,,H &lt;- D
100,0x63,63,MOV H;E,1,,H &lt;- E
101,0x64,64,MOV H;H,1,,H &lt;- H
102,0x65,65,MOV H;L,1,,H &lt;- L
103,0x66,66,MOV H;M,1,,H &lt;- (HL)
104,0x67,67,MOV H;A,1,,H &lt;- A
105,0x68,68,MOV L;B,1,,L &lt;- B
106,0x69,69,MOV L;C,1,,L &lt;- C
107,0x6a,6a,MOV L;D,1,,L &lt;- D
108,0x6b,6b,MOV L;E,1,,L &lt;- E
109,0x6c,6c,MOV L;H,1,,L &lt;- H
110,0x6d,6d,MOV L;L,1,,L &lt;- L
111,0x6e,6e,MOV L;M,1,,L &lt;- (HL)
112,0x6f,6f,MOV L;A,1,,L &lt;- A
113,0x70,70,MOV M;B,1,,(HL) &lt;- B
114,0x71,71,MOV M;C,1,,(HL) &lt;- C
115,0x72,72,MOV M;D,1,,(HL) &lt;- D
116,0x73,73,MOV M;E,1,,(HL) &lt;- E
117,0x74,74,MOV M;H,1,,(HL) &lt;- H
118,0x75,75,MOV M;L,1,,(HL) &lt;- L
119,0x76,76,HLT,1,,special
120,0x77,77,MOV M;A,1,,(HL) &lt;- C
